player,team,defcon90,saves90,rc_rate,yc_rate,pen_share,xMINS_W1,xMINS_W2,xMINS_W3,xMINS_W4,xMINS_W5,xMINS_W6,player_key,Pos
Viktor Gyokeres,Arsenal,3.3,0,0.01,0.2,0.25,75,75,75,75,0,0,viktor gyokeres|arsenal,FWD
Bukayo Saka,Arsenal,7.5,0,0.01,0.06,0.65,60,90,90,90,0,0,bukayo saka|arsenal,MID
Martín Zubimendi,Arsenal,9.1,0,0.02,0.14,0,90,90,90,90,0,0,martín zubimendi|arsenal,MID
Leandro Trossard,Arsenal,6.1,0,0.02,0.67,0,60,60,60,60,0,0,leandro trossard|arsenal,MID
Mikel Merino,Arsenal,10,0,0.02,0.2,0,0,0,0,0,0,0,mikel merino|arsenal,MID
Declan Rice,Arsenal,11.2,0,0.02,0.2,0,90,90,90,90,0,0,declan rice|arsenal,MID
Gabriel,Arsenal,8.9,0,0.02,0.14,0,90,90,90,90,0,0,gabriel|arsenal,DEF
Jurriën Timber,Arsenal,5,0,0.02,0.2,0,0,0,0,0,0,0,jurriën timber|arsenal,DEF
Gabriel Jesus,Arsenal,7.7,0,0.02,0.5,0,15,15,15,15,0,0,gabriel jesus|arsenal,FWD
Martin Odegaard,Arsenal,6.8,0,0.01,0.03,0.1,75,75,75,75,0,0,martin odegaard|arsenal,MID
William Saliba,Arsenal,6.3,0,0.02,0.06,0,90,90,90,90,0,0,william saliba|arsenal,DEF
Gabriel Martinelli,Arsenal,7.1,0,0.02,0.2,0,30,30,30,30,0,0,gabriel martinelli|arsenal,MID
Riccardo Calafiori,Arsenal,6.1,0,0.02,0.33,0,15,15,15,15,0,0,riccardo calafiori|arsenal,DEF
Piero Hincapié,Arsenal,7.9,0,0.02,0.14,0,75,75,75,75,0,0,piero hincapié|arsenal,DEF
Noni Madueke,Arsenal,5,0,0.01,0.03,0,30,15,5,5,0,0,noni madueke|arsenal,MID
Max Dowman,Arsenal,0,0,0.02,0.06,0,0,0,0,0,0,0,max dowman|arsenal,MID
Kai Havertz,Arsenal,6.4,0,0.02,0.03,0,0,0,0,0,0,0,kai havertz|arsenal,FWD
Christian Nørgaard,Arsenal,7.5,0,0.02,0.06,0,0,0,0,0,0,0,christian nørgaard|arsenal,MID
Ben White,Arsenal,7.9,0,0.02,0.06,0,15,15,15,15,0,0,ben white|arsenal,DEF
David Raya,Arsenal,0,1.6,0.01,0.03,0,90,90,90,90,0,0,david raya|arsenal,GK
Cristhian Mosquera,Arsenal,9,0,0.02,0.33,0,75,75,75,75,0,0,cristhian mosquera|arsenal,DEF
Ethan Nwaneri,Arsenal,7.1,0,0.01,0.03,0,0,0,0,0,0,0,ethan nwaneri|arsenal,MID
Myles Lewis-Skelly,Arsenal,4.1,0,0.02,0.5,0,0,0,0,0,0,0,myles lewis-skelly|arsenal,DEF
Eberechi Eze,Arsenal,5.8,0,0.01,0.06,0,60,60,60,60,0,0,eberechi eze|arsenal,MID
Ollie Watkins,Aston Villa,3.1,0,0.01,0.1,0.25,75,75,75,75,0,0,ollie watkins|aston villa,FWD
Morgan Rogers,Aston Villa,6.2,0,0.01,0.14,0.25,90,90,90,90,0,0,morgan rogers|aston villa,MID
Emiliano Buendía,Aston Villa,9.7,0,0.02,0.33,0,75,75,75,75,0,0,emiliano buendía|aston villa,MID
Donyell Malen,Aston Villa,2.3,0,0.01,0.06,0,0,0,0,0,0,0,donyell malen|aston villa,MID
John McGinn,Aston Villa,7.1,0,0.02,0.2,0,60,60,60,60,0,0,john mcginn|aston villa,MID
Matthew Cash,Aston Villa,5.8,0,0.03,0.33,0,90,90,90,90,0,0,matthew cash|aston villa,DEF
Ross Barkley,Aston Villa,10.8,0,0.02,0.1,0,0,0,0,0,0,0,ross barkley|aston villa,MID
Amadou Onana,Aston Villa,11.7,0,0.02,0.1,0,75,75,75,75,0,0,amadou onana|aston villa,MID
Tammy Abraham,Aston Villa,3.5,0,0.01,0.06,0,15,15,15,15,0,0,tammy abraham|aston villa,FWD
Boubacar Kamara,Aston Villa,9.5,0,0.02,0.33,0,0,0,0,0,0,0,boubacar kamara|aston villa,MID
Tyrone Mings,Aston Villa,7.5,0,0.02,0.1,0,0,0,0,0,0,0,tyrone mings|aston villa,DEF
