understat_player_id,player,understat_games,understat_minutes,understat_goals,xG,understat_assists,xA,understat_shots,understat_key_passes,yellow_cards,red_cards,position,team,npg,npxG,xGChain,xGBuildup,understat_league,understat_season,team_key,player_key,understat_xG90,understat_npxG90,understat_xA90,understat_shots90,understat_chances_created90,understat_key_passes90,understat_xG_per_shot,understat_npxG_per_shot,understat_xA_per_chance,understat_xA_per_key_pass,understat_xGChain90,understat_xGBuildup90
8260,Erling Haaland,33,2799,25,26.345500,7,4.856390,118,22,2,0,F S,Manchester City,22,23.300824,29.881682,5.163549,EPL,2025,manchester city,erling haaland|manchester city,0.847122,0.749223,0.156154,3.794212,0.707395,0.707395,0.223267,0.197465,0.220745,0.220745,0.960826,0.166031
13222,Thiago,35,3022,22,23.823847,1,3.395268,79,22,7,0,F S,Brentford,14,16.973328,21.628347,4.783232,EPL,2025,brentford,thiago|brentford,0.709512,0.505493,0.101117,2.352747,0.655195,0.655195,0.301568,0.214852,0.154330,0.154330,0.644127,0.142452
8272,João Pedro,33,2518,15,15.004754,5,3.983570,68,29,4,0,F M S,Chelsea,15,15.004754,18.591745,4.778921,EPL,2025,chelsea,joao pedro|chelsea,0.536310,0.536310,0.142383,2.430500,1.036537,1.036537,0.220658,0.220658,0.137364,0.137364,0.664518,0.170811
11363,Antoine Semenyo,33,2921,15,12.003271,4,3.664996,78,35,7,0,F M,"Bournemouth,Manchester City",14,10.480933,19.220359,7.121950,EPL,2025,bournemouth manchester city,antoine semenyo|bournemouth manchester city,0.369837,0.322932,0.112924,2.403287,1.078398,1.078398,0.153888,0.134371,0.104714,0.104714,0.592206,0.219437
7254,Viktor Gyokeres,33,2147,14,13.452341,1,2.287122,52,18,5,0,F S,Arsenal,11,11.168834,13.995712,3.197642,EPL,2025,arsenal,viktor gyokeres|arsenal,0.563908,0.468186,0.095874,2.179786,0.754541,0.754541,0.258699,0.214785,0.127062,0.127062,0.586686,0.134042
501,Danny Welbeck,34,2081,13,12.371073,1,2.262530,52,20,5,0,F S,Brighton,12,10.087567,13.640384,3.761846,EPL,2025,brighton,danny welbeck|brighton,0.535030,0.436272,0.097851,2.248919,0.864969,0.864969,0.237905,0.193992,0.113127,0.113127,0.589925,0.162694
6857,Morgan Gibbs-White,35,2962,13,9.894120,4,4.402889,75,45,1,0,F M S,Nottingham Forest,12,9.132951,15.326274,5.229967,EPL,2025,nottingham forest,morgan gibbs white|nottingham forest,0.300632,0.277504,0.133781,2.278866,1.367319,1.367319,0.131922,0.121773,0.097842,0.097842,0.465687,0.158912
5555,Dominic Calvert-Lewin,32,2481,12,16.582975,1,1.477412,68,17,2,0,F S,Leeds,9,13.538336,16.339212,2.475214,EPL,2025,leeds,dominic calvert lewin|leeds,0.601559,0.491113,0.053594,2.466747,0.616687,0.616687,0.243867,0.199093,0.086907,0.086907,0.592716,0.089790
11504,Eli Junior Kroupi,30,1467,12,8.438253,0,1.777412,43,21,5,0,F M S,Bournemouth,10,6.915915,10.168271,4.017285,EPL,2025,bournemouth,eli junior kroupi|bournemouth,0.517684,0.424289,0.109044,2.638037,1.288344,1.288344,0.196238,0.160835,0.084639,0.084639,0.623820,0.246459
8865,Ollie Watkins,34,2638,11,14.860475,2,2.778456,71,22,3,0,F S,Aston Villa,11,14.860475,19.185004,3.627887,EPL,2025,aston villa,ollie watkins|aston villa,0.506991,0.506991,0.094792,2.422290,0.750569,0.750569,0.209302,0.209302,0.126293,0.126293,0.654530,0.123772
8995,Hugo Ekitike,28,1835,11,11.932188,4,2.491306,65,21,0,0,F S,Liverpool,11,11.932188,16.322999,4.886437,EPL,2025,liverpool,hugo ekitike|liverpool,0.585230,0.585230,0.122189,3.188011,1.029973,1.029973,0.183572,0.183572,0.118634,0.118634,0.800583,0.239662
11974,Benjamin Sesko,30,1636,11,12.504128,1,0.597738,61,9,2,0,F S,Manchester United,11,12.504128,14.227154,1.629516,EPL,2025,manchester united,benjamin sesko|manchester united,0.687880,0.687880,0.032883,3.355746,0.495110,0.495110,0.204986,0.204986,0.066415,0.066415,0.782667,0.089643
5596,Harry Wilson,33,2662,10,5.613232,6,5.326889,73,34,7,0,M S,Fulham,10,5.613232,10.289306,3.511679,EPL,2025,fulham,harry wilson|fulham,0.189779,0.189779,0.180098,2.468069,1.149512,1.149512,0.076894,0.076894,0.156673,0.156673,0.347873,0.118727
5735,Jean-Philippe Mateta,28,2106,10,14.742169,0,1.193714,60,8,2,0,F S,Crystal Palace,6,11.697494,13.512130,2.026281,EPL,2025,crystal palace,jean philippe mateta|crystal palace,0.630007,0.499893,0.051013,2.564103,0.341880,0.341880,0.245703,0.194958,0.149214,0.149214,0.577441,0.086593
6026,Richarlison,29,1668,10,8.010482,4,2.864982,52,16,5,0,F M S,Tottenham,10,8.010482,9.109166,2.007898,EPL,2025,tottenham,richarlison|tottenham,0.432220,0.432220,0.154585,2.805755,0.863309,0.863309,0.154048,0.154048,0.179061,0.179061,0.491502,0.108340
2248,Casemiro,33,2567,9,6.368297,2,3.005024,49,34,8,1,M S,Manchester United,9,6.368297,14.675639,10.547921,EPL,2025,manchester united,casemiro|manchester united,0.223275,0.223275,0.105357,1.717959,1.192053,1.192053,0.129965,0.129965,0.088383,0.088383,0.514534,0.369814
4105,Raúl Jiménez,34,2183,9,11.883376,3,1.944131,70,25,5,0,F S,Fulham,5,8.838701,10.397177,1.457744,EPL,2025,fulham,raul jimenez|fulham,0.489924,0.364399,0.080152,2.885937,1.030692,1.030692,0.169763,0.126267,0.077765,0.077765,0.428651,0.060099
6552,Bryan Mbeumo,30,2504,9,10.053196,3,4.765220,65,44,4,0,F M S,Manchester United,9,10.053196,18.687376,6.000714,EPL,2025,manchester united,bryan mbeumo|manchester united,0.361337,0.361337,0.171274,2.336262,1.581470,1.581470,0.154665,0.154665,0.108300,0.108300,0.671671,0.215681
7080,Matheus Cunha,31,2335,9,6.052487,2,2.657673,81,28,3,0,F M S,Manchester United,9,6.052487,14.522355,8.106868,EPL,2025,manchester united,matheus cunha|manchester united,0.233286,0.233286,0.102437,3.122056,1.079229,1.079229,0.074722,0.074722,0.094917,0.094917,0.559748,0.312470
8327,Bruno Guimarães,26,2216,9,5.922834,5,3.841181,35,42,5,0,M S,Newcastle United,7,4.400497,12.582091,8.350474,EPL,2025,newcastle united,bruno guimaraes|newcastle united,0.240548,0.178721,0.156005,1.421480,1.705776,1.705776,0.169224,0.125728,0.091457,0.091457,0.511006,0.339144
8497,Cole Palmer,23,1737,9,9.762309,1,2.045577,58,23,4,0,F M S,Chelsea,4,5.195296,14.969635,9.087575,EPL,2025,chelsea,cole palmer|chelsea,0.505819,0.269186,0.105988,3.005181,1.191710,1.191710,0.168316,0.089574,0.088938,0.088938,0.775629,0.470859
12412,Morgan Rogers,35,3121,9,6.988692,5,6.546443,81,43,7,0,F M,Aston Villa,9,6.988692,16.079197,6.104742,EPL,2025,aston villa,morgan rogers|aston villa,0.201532,0.201532,0.188779,2.335790,1.239987,1.239987,0.086280,0.086280,0.152243,0.152243,0.463674,0.176042
13729,Zian Flemming,26,1533,9,8.447325,0,0.648264,45,9,3,0,F S,Burnley,7,6.924987,6.520412,1.398689,EPL,2025,burnley,zian flemming|burnley,0.495929,0.406555,0.038059,2.641879,0.528376,0.528376,0.187718,0.153889,0.072029,0.072029,0.382803,0.082115
1228,Bruno Fernandes,32,2812,8,11.389133,19,15.792690,77,121,5,0,M,Manchester United,4,6.822119,22.691520,10.151398,EPL,2025,manchester united,bruno fernandes|manchester united,0.364517,0.218347,0.505456,2.464438,3.872688,3.872688,0.147911,0.088599,0.130518,0.130518,0.726258,0.324902
1776,Jarrod Bowen,35,3146,8,7.944624,10,7.466969,74,41,4,0,F M,West Ham,7,7.183455,13.018944,3.284483,EPL,2025,west ham,jarrod bowen|west ham,0.227278,0.205503,0.213613,2.116974,1.172918,1.172918,0.107360,0.097074,0.182121,0.182121,0.372443,0.093962
9739,Kiernan Dewsbury-Hall,28,2380,8,3.860382,4,5.842250,36,32,6,0,M S,Everton,8,3.860382,12.358229,6.795769,EPL,2025,everton,kiernan dewsbury hall|everton,0.145981,0.145981,0.220925,1.361345,1.210084,1.210084,0.107233,0.107233,0.182570,0.182570,0.467328,0.256983
9983,Beto,34,1404,8,9.851595,1,1.004186,40,12,3,0,F S,Everton,8,9.851595,10.940335,0.870828,EPL,2025,everton,beto|everton,0.631513,0.631513,0.064371,2.564103,0.769231,0.769231,0.246290,0.246290,0.083682,0.083682,0.701304,0.055822
11356,Enzo Fernández,33,2879,8,11.523516,3,8.159640,68,64,8,0,M S,Chelsea,6,10.001178,26.279563,15.555267,EPL,2025,chelsea,enzo fernandez|chelsea,0.360235,0.312645,0.255077,2.125738,2.000695,2.000695,0.169463,0.147076,0.127494,0.127494,0.821522,0.486271
11966,Noah Okafor,28,1592,8,6.296697,1,2.259315,35,19,3,0,F M S,Leeds,8,6.296697,10.915966,3.821857,EPL,2025,leeds,noah okafor|leeds,0.355969,0.355969,0.127725,1.978643,1.074121,1.074121,0.179906,0.179906,0.118911,0.118911,0.617109,0.216060
