team,projected_team_xG_W1,projected_team_xG_W2,projected_team_xG_W3,projected_team_xG_W4,projected_team_xG_W5,projected_team_xG_W6,xG_TOTAL,projected_team_xA_W1,projected_team_xA_W2,projected_team_xA_W3,projected_team_xA_W4,projected_team_xA_W5,projected_team_xA_W6
Arsenal,2.01,1.83,2.68,1.63,,,8.15,1.4673,1.34,1.954303088,1.188024204,0,0
Aston Villa,1.61,1.71,1.37,0.98,,,5.67,1.1753,1.25,1.003263717,0.7183008669,0,0
Bournemouth,1.89,1.46,1.34,1.42,,,6.11,1.3797,1.07,0.976332316,1.039129442,0,0
Brentford,1.75,1.03,1.60,1.19,,,5.57,1.2775,0.75,1.164810674,0.8678057643,0,0
Brighton,1.45,1.96,1.37,1.60,,,6.38,1.0585,1.43,1.001611977,1.167317536,0,0
Burnley,0.80,0.95,0.47,1.14,,,3.36,0.58468857,0.69,0.3404525777,0.8332361966,0,0
Chelsea,1.86,1.38,2.12,1.71,,,7.07,1.360495084,1.01,1.551033902,1.249736647,0,0
Crystal Palace,1.05,1.44; 0.8,1.27,0.89,,,5.45,0.7665,1.05;0.58,0.9292053682,0.6469256665,0,0
Everton,0.99,1.27,1.41,1.20,,,4.87,0.7197729188,0.93,1.030290647,0.8733569928,0,0
Fulham,0.82,1.61,1.37,1.43,,,5.23,0.5986,1.18,1.002853621,1.04157091,0,0
Leeds,2.11,1.31,1.31,1.28,,,6.01,1.5403,0.96,0.9533984489,0.9365302252,0,0
Liverpool,1.58,1.82,1.61,2.01,,,7.02,1.15351576,1.33,1.178452255,1.46649131,0,0
Manchester City,2.13,2.28; 2.70,1.93,2.21,,,11.25,1.5549,1.66;1.97,1.406713615,1.616739802,0,0
Manchester United,1.73,1.57,1.71,1.33,,,6.34,1.2629,1.15,1.244769341,0.9684411023,0,0
Newcastle United,1.59,1.40,1.89,1.43,,,6.31,1.1607,1.02,1.378934687,1.04304621,0,0
Nottingham Forest,1.10,1.30,1.02,1.33,,,4.75,0.803,0.95,0.7460554095,0.9709477149,0,0
Sunderland,1.34,1.43,1.09,1.36,,,5.22,0.9782,1.04,0.7929776783,0.9910990065,0,0
Tottenham,1.32,1.15,0.93,1.09,,,4.49,0.9636,0.84,0.6816293162,0.7984779416,0,0
West Ham,1.31,0.78,1.12,1.34,,,4.55,0.9563,0.57,0.8177222312,0.9787394577,0,0
Wolverhampton Wanderers,1.16,0.82,1.07,1.17,,,4.22,0.8502586949,0.6,0.7834149128,0.8545815303,0,0
