team,CS_ODDS_W1,CS_ODDS_W2,CS_ODDS_W3,CS_ODDS_W4,CS_ODDS_W5,CS_ODDS_W6
Arsenal,0.44,0.46,0.63,0.41,,
Aston Villa,0.27,0.39,0.20,0.11,,
Bournemouth,0.35,0.23,0.15,0.26,,
Brentford,0.27,0.10,0.28,0.13,,
Brighton,0.22,0.44,0.27,0.27,,
Burnley,0.12,0.18,0.07,0.31,,
Chelsea,0.33,0.16,0.34,0.33,,
Crystal Palace,0.15,0.09; 0.28,0.20,0.20,,
Everton,0.12,0.24,0.39,0.26,,
Fulham,0.14,0.23,0.34,0.24,,
Leeds,0.43,0.24,0.25,0.26,,
Liverpool,0.18,0.25,0.25,0.30,,
Manchester City,0.37, 0.47; 0.36,0.26,0.37,,
Manchester United,0.21,0.32,0.36,0.20,,
Newcastle United,0.23,0.27,0.33,0.24,,
Nottingham Forest,0.15,0.25,0.18,0.24,,
Tottenham,0.20,0.27,0.12,0.30,,
Sunderland,0.32,0.21,0.24,0.18,,
West Ham,0.17,0.16,0.15,0.28,,
Wolverhampton Wanderers,0.26,0.14,0.25,0.32,,
