team,matches,goals,ga,xG,NPxG,xGA,NPxGA,NPxG/90,xGA/90,xA/90
Arsenal,34,64,26,66.83,63.79,29.92,29.92,1.876176471,0.88,1.369608824
Manchester City,33,66,29,68.96,65.92,39.55,37.88,1.997575758,1.198484848,1.458230303
Manchester United,34,60,46,62.48,57.92,45.47,42.42,1.703529412,1.337352941,1.243576471
Liverpool,34,57,44,61.06,59.54,46.73,43.69,1.751176471,1.374411765,1.278358824
Aston Villa,34,47,42,48.87,48.87,50.92,49.39,1.437352941,1.497647059,1.049267647
Brighton,34,48,39,51.39,47.58,47.03,42.46,1.399411765,1.383235294,1.021570588
Bournemouth,34,52,52,60.49,56.68,51.52,46.95,1.667058824,1.515294118,1.216952941
Chelsea,34,53,45,67.43,62.1,50.7,49.94,1.826470588,1.491176471,1.333323529
Brentford,34,49,46,60.31,53.46,49.17,43.84,1.572352941,1.446176471,1.147817647
Fulham,34,44,46,44.43,41.38,54.02,50.97,1.217058824,1.588823529,0.8884529412
Everton,34,41,41,44.49,42.97,52.6,49.56,1.263823529,1.547058824,0.9225911765
Sunderland,34,36,45,37.36,33.55,55.6,53.31,0.9867647059,1.635294118,0.7203382353
Crystal Palace,33,36,39,55.23,49.91,48.24,43.67,1.512424242,1.461818182,1.104069697
Newcastle United,34,46,50,53.46,48.89,51.29,47.48,1.437941176,1.508529412,1.049697059
Leeds,34,44,51,53.11,47.63,49.44,44.87,1.400882353,1.454117647,1.022644118
Nottingham Forest,34,41,45,41.26,39.74,55.3,51.49,1.168823529,1.626470588,0.8532411765
West Ham,34,42,58,43.88,41.59,60.33,55.76,1.223235294,1.774411765,0.8929617647
Tottenham,34,43,53,40.63,40.63,51.75,50.23,1.195,1.522058824,0.87235
Burnley,34,34,68,33.31,31.79,74.66,69.34,0.935,2.195882353,0.68255
Wolverhampton Wanderers,34,24,62,31.62,28.58,62.39,59.34,0.8405882353,1.835,0.6136294118
