GW,week,player_key,player,team,Pos,mins,xG_scaled,xA_scaled,xPts,fixtures_in_week,MC_MeanPts,MC_StdPts,MC_Floor,MC_P25,MC_P75,MC_Upside,MC_CaptainMean,MC_CaptainUpside,MC_P1_Return,MC_P2_Return,Bracket_LE_2,Bracket_3_to_6,Bracket_7_to_9,Bracket_10_to_14,Bracket_15_plus,MC_MinPts,MC_MaxPts
35,1,aaron hickey|brentford,Aaron Hickey,Brentford,DEF,75.0,0.047338,0.050916,2.96862,1,2.7845,2.851957178851043,0,1,5,7,5.569,14,0.0898,0.0038,0.6848,0.21,0.0813,0.0214,0.0025,-3,21
35,1,aaron ramsdale|newcastle united,Aaron Ramsdale,Newcastle United,GK,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,aaron wan-bissaka|west ham,Aaron Wan-Bissaka,West Ham,DEF,90.0,0.0,0.05258,2.418198,1,2.4606,2.367286978800838,0,1,4,6,4.9212,12,0.0454,0.0012,0.6741,0.2581,0.0619,0.0057,0.0002,-3,17
35,1,abduqodir khusanov|manchester city,Abduqodir Khusanov,Manchester City,DEF,75.0,0.022574,0.023965,3.457349,1,3.2617,2.823900336414159,1,1,6,7,6.5234,14,0.044,0.0008,0.5769,0.2938,0.1136,0.0136,0.0021,-3,18
35,1,adam armstrong|wolverhampton wanderers,Adam Armstrong,Wolverhampton Wanderers,FWD,60.0,0.083119,0.09593,2.560296,1,1.8324,2.0139290553542346,0,0,2,5,3.6648,10,0.118,0.0109,0.8817,0.0754,0.0357,0.0068,0.0004,-1,17
35,1,adam smith|bournemouth,Adam Smith,Bournemouth,DEF,15.0,0.0,0.014778,0.987332,1,0.3867,0.6546473172632727,0,0,1,1,0.7734,2,0.0107,0.0001,0.9896,0.0102,0.0002,0.0,0.0,-3,8
35,1,adam wharton|crystal palace,Adam Wharton,Crystal Palace,MID,75.0,0.030013,0.155783,2.697645,1,2.6466,2.047561583933436,1,1,3,5,5.2932,10,0.1562,0.0142,0.6594,0.2806,0.0475,0.0122,0.0003,-2,15
35,1,adama traoré|west ham,Adama Traoré,West Ham,MID,15.0,0.020729,0.027223,1.120315,1,0.6582,1.0895745775301477,0,0,1,1,1.3164,2,0.0346,0.0011,0.9656,0.0248,0.0092,0.0004,0.0,-2,11
35,1,adrien truffert|bournemouth,Adrien Truffert,Bournemouth,DEF,90.0,0.04744,0.136378,4.188018,1,4.1561,3.121559352310957,1,2,6,8,8.3122,16,0.1454,0.0124,0.4505,0.352,0.1465,0.0449,0.0061,-3,24
35,1,alejandro garnacho|chelsea,Alejandro Garnacho,Chelsea,MID,15.0,0.050445,0.058925,1.402334,1,0.8776,1.5907917022665161,0,0,1,1,1.7552,2,0.07,0.0072,0.9301,0.0445,0.0212,0.0041,0.0001,-2,15
35,1,alejandro jiménez|bournemouth,Alejandro Jiménez,Bournemouth,DEF,90.0,0.056926,0.099676,3.2324,1,3.3882,3.072832693135114,0,1,6,7,6.7764,14,0.1319,0.0092,0.5555,0.3201,0.088,0.0325,0.0039,-4,21
35,1,alex iwobi|fulham,Alex Iwobi,Fulham,MID,90.0,0.033542,0.082592,2.480668,1,2.4867,1.5075885081811948,2,2,2,4,4.9734,8,0.0958,0.0056,0.7748,0.1886,0.0311,0.0053,0.0002,-1,16
35,1,alex murphy|newcastle united,Alex Murphy,Newcastle United,DEF,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,alex scott|bournemouth,Alex Scott,Bournemouth,MID,90.0,0.140136,0.142934,4.259004,1,4.1741,2.7111970031703714,2,2,5,8,8.3482,16,0.2253,0.0269,0.343,0.4893,0.1092,0.0537,0.0048,-1,25
35,1,alex tóth|bournemouth,Alex Tóth,Bournemouth,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,alexander isak|liverpool,Alexander Isak,Liverpool,FWD,75.0,0.328037,0.066354,3.436444,1,3.4534,2.8934457727768113,1,2,6,7,6.9068,14,0.3041,0.0554,0.6959,0.14,0.1166,0.0431,0.0044,-2,25
35,1,alexis mac allister|liverpool,Alexis Mac Allister,Liverpool,MID,75.0,0.105556,0.043058,2.66609,1,2.5545,2.109935958743772,1,2,3,6,5.109,12,0.1282,0.0075,0.7383,0.1763,0.0722,0.0122,0.001,-2,21
35,1,alisson|liverpool,Alisson,Liverpool,GK,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,alphonse areola|west ham,Alphonse Areola,West Ham,GK,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,altay bayindir|manchester united,Altay Bayindir,Manchester United,GK,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,alysson edward|aston villa,Alysson Edward,Aston Villa,FWD,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,amad diallo traore|manchester united,Amad Diallo Traore,Manchester United,MID,30.0,0.071291,0.067049,1.514296,1,0.9625,1.7522253707785422,0,0,1,1,1.925,2,0.0835,0.0074,0.9163,0.0527,0.0253,0.0054,0.0003,-2,18
35,1,amadou onana|aston villa,Amadou Onana,Aston Villa,MID,75.0,0.110948,0.027909,3.235671,1,3.1449,2.3589624816855395,1,2,4,6,6.2898,12,0.1184,0.0079,0.5461,0.3571,0.0684,0.026,0.0024,-2,18
35,1,amine adli|bournemouth,Amine Adli,Bournemouth,MID,15.0,0.049361,0.023022,1.277539,1,0.8219,1.4940483225116916,0,0,1,1,1.6438,2,0.0538,0.0032,0.9459,0.031,0.0204,0.0026,0.0001,-2,19
35,1,andrew robertson|liverpool,Andrew Robertson,Liverpool,DEF,15.0,0.014419,0.015212,1.071429,1,0.298,1.035275808661634,0,0,1,1,0.596,2,0.0229,0.0005,0.9779,0.0137,0.0073,0.0011,0.0,-4,12
35,1,andrey santos|chelsea,Andrey Santos,Chelsea,MID,60.0,0.078579,0.037037,2.622238,1,1.9283,2.2055745532627093,0,0,3,4,3.8566,8,0.08,0.0047,0.7352,0.2075,0.0457,0.0108,0.0008,-1,20
35,1,andrés garcía|aston villa,Andrés García,Aston Villa,DEF,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,andré|wolverhampton wanderers,André,Wolverhampton Wanderers,MID,75.0,0.016068,0.034549,2.578269,1,2.4892,1.6895216364403267,1,1,3,5,4.9784,10,0.0464,0.0016,0.5952,0.3805,0.0192,0.0049,0.0002,-2,17
35,1,andy irving|west ham,Andy Irving,West Ham,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,angel gomes|wolverhampton wanderers,Angel Gomes,Wolverhampton Wanderers,MID,60.0,0.025183,0.038657,2.34858,1,1.6052,1.5856648321760813,0,0,2,3,3.2104,6,0.0453,0.0017,0.8135,0.1652,0.0185,0.0027,0.0001,-1,15
35,1,angus gunn|nottingham forest,Angus Gunn,Nottingham Forest,GK,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,anthony elanga|newcastle united,Anthony Elanga,Newcastle United,MID,60.0,0.066703,0.108332,2.82852,1,2.0405,2.279837658694145,0,0,2,5,4.081,10,0.1253,0.0117,0.7594,0.1788,0.0481,0.0123,0.0014,-1,21
35,1,anthony gordon|newcastle united,Anthony Gordon,Newcastle United,MID,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
35,1,antoine semenyo|manchester city,Antoine Semenyo,Manchester City,MID,90.0,0.301158,0.090236,4.084204,1,4.1921,3.316745029392522,2,2,6,9,8.3842,18,0.2974,0.0525,0.4482,0.3078,0.169,0.0604,0.0146,-1,24
35,1,anton stach|leeds,Anton Stach,Leeds,MID,75.0,0.109761,0.341284,4.078246,1,4.0281,3.021342481414512,1,2,6,8,8.0562,16,0.3385,0.0655,0.4014,0.4166,0.1204,0.0546,0.007,-2,24
35,1,antonee robinson|fulham,Antonee Robinson,Fulham,DEF,90.0,0.003411,0.036552,2.173798,1,2.1731,2.231173769566145,0,1,3,6,4.3462,12,0.0359,0.0004,0.7287,0.2161,0.0499,0.0053,0.0,-4,13
