GW,player_id,player_key,player,team,Pos,start,mins,api_start,api_mins,appearances,total_minutes,chance_of_playing
37,11,benjamin white|arsenal,Benjamin White,Arsenal,DEF,0,0,0.375,28,12,699,0
37,13,brayden clarke|arsenal,Brayden Clarke,Arsenal,DEF,0,0,0,0,0,0,
37,662,cristhian mosquera|arsenal,Cristhian Mosquera,Arsenal,DEF,0.8,75,0.389,40.7,18,806,100
37,5,gabriel dos santos magalh es|arsenal,Gabriel dos Santos Magalhães,Arsenal,DEF,1,90,0.967,86.7,30,2615,100
37,9,jakub kiwior|arsenal,Jakub Kiwior,Arsenal,DEF,0,0,0,0,,0,0
37,15,josh nichols|arsenal,Josh Nichols,Arsenal,DEF,0,0,0,0,0,0,
37,8,jurri n timber|arsenal,Jurriën Timber,Arsenal,DEF,0,0,0,0,30,2452,0
37,14,maldini kacurri|arsenal,Maldini Kacurri,Arsenal,DEF,0,0,0,0,0,0,0
37,759,marli salmon|arsenal,Marli Salmon,Arsenal,DEF,0,0,0,0,,0,
37,10,myles lewis skelly|arsenal,Myles Lewis-Skelly,Arsenal,DEF,0.8,75,0.222,29,18,590,100
37,725,piero hincapi|arsenal,Piero Hincapié,Arsenal,DEF,0.2,15,0.826,71.1,23,1679,75
37,7,riccardo calafiori|arsenal,Riccardo Calafiori,Arsenal,DEF,0.8,75,0.625,48.2,24,1581,100
37,6,william saliba|arsenal,William Saliba,Arsenal,DEF,0.98,88,0.967,83.7,30,2524,100
37,31,gabriel fernando de jesus|arsenal,Gabriel Fernando de Jesus,Arsenal,FWD,0,10,0.154,23.1,13,344,20
37,30,kai havertz|arsenal,Kai Havertz,Arsenal,FWD,0.2,15,0.6,43.2,10,460,100
37,666,viktor gy keres|arsenal,Viktor Gyökeres,Arsenal,FWD,0.8,75,0.765,62.2,34,2193,100
37,1,david raya mart n|arsenal,David Raya Martín,Arsenal,GK,1,90,1,90,36,3240,100
37,3,karl hein|arsenal,Karl Hein,Arsenal,GK,0,0,0,0,0,0,0
