GW,player_id,player_key,player,team,Pos,start,mins,api_start,api_mins,appearances,total_minutes,chance_of_playing
37,11,benjamin white|arsenal,Benjamin White,Arsenal,DEF,0.000000,0.000000,0.375000,28.000000,12.000000,699,0.000000
37,13,brayden clarke|arsenal,Brayden Clarke,Arsenal,DEF,0.000000,0.000000,0.000000,0.000000,0.000000,0,
37,662,cristhian mosquera|arsenal,Cristhian Mosquera,Arsenal,DEF,0.800000,75.000000,0.389000,40.700000,18.000000,806,100.000000
37,5,gabriel dos santos magalh es|arsenal,Gabriel dos Santos Magalhães,Arsenal,DEF,1.000000,90.000000,0.967000,86.700000,30.000000,2615,100.000000
37,9,jakub kiwior|arsenal,Jakub Kiwior,Arsenal,DEF,0.000000,0.000000,0.000000,0.000000,,0,0.000000
37,15,josh nichols|arsenal,Josh Nichols,Arsenal,DEF,0.000000,0.000000,0.000000,0.000000,0.000000,0,
37,8,jurri n timber|arsenal,Jurriën Timber,Arsenal,DEF,0.000000,0.000000,0.000000,0.000000,30.000000,2452,0.000000
37,14,maldini kacurri|arsenal,Maldini Kacurri,Arsenal,DEF,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000
37,759,marli salmon|arsenal,Marli Salmon,Arsenal,DEF,0.000000,0.000000,0.000000,0.000000,,0,
37,10,myles lewis skelly|arsenal,Myles Lewis-Skelly,Arsenal,DEF,0.800000,75.000000,0.222000,29.000000,18.000000,590,100.000000
37,725,piero hincapi|arsenal,Piero Hincapié,Arsenal,DEF,0.200000,15.000000,0.826000,71.100000,23.000000,1679,75.000000
37,7,riccardo calafiori|arsenal,Riccardo Calafiori,Arsenal,DEF,0.800000,75.000000,0.625000,48.200000,24.000000,1581,100.000000
37,6,william saliba|arsenal,William Saliba,Arsenal,DEF,0.980000,88.000000,0.967000,83.700000,30.000000,2524,100.000000
37,31,gabriel fernando de jesus|arsenal,Gabriel Fernando de Jesus,Arsenal,FWD,0.000000,10.000000,0.154000,23.100000,13.000000,344,20.000000
37,30,kai havertz|arsenal,Kai Havertz,Arsenal,FWD,0.200000,15.000000,0.600000,43.200000,10.000000,460,100.000000
37,666,viktor gy keres|arsenal,Viktor Gyökeres,Arsenal,FWD,0.800000,75.000000,0.765000,62.200000,34.000000,2193,100.000000
37,1,david raya mart n|arsenal,David Raya Martín,Arsenal,GK,1.000000,90.000000,1.000000,90.000000,36.000000,3240,100.000000
37,3,karl hein|arsenal,Karl Hein,Arsenal,GK,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000
37,2,kepa arrizabalaga revuelta|arsenal,Kepa Arrizabalaga Revuelta,Arsenal,GK,0.000000,0.000000,0.000000,0.000000,0.000000,0,
37,4,tommy setford|arsenal,Tommy Setford,Arsenal,GK,0.000000,0.000000,0.000000,0.000000,0.000000,0,
37,29,albert sambi lokonga|arsenal,Albert Sambi Lokonga,Arsenal,MID,0.000000,0.000000,0.000000,0.000000,,0,0.000000
37,711,andre harriman annous|arsenal,Andre Harriman-Annous,Arsenal,MID,0.000000,0.000000,0.000000,0.000000,,0,
37,16,bukayo saka|arsenal,Bukayo Saka,Arsenal,MID,0.980000,75.000000,0.800000,68.800000,30.000000,2128,100.000000
37,24,christian n rgaard|arsenal,Christian Nørgaard,Arsenal,MID,0.000000,7.900000,0.000000,7.900000,6.000000,56,5.000000
37,21,declan rice|arsenal,Declan Rice,Arsenal,MID,1.000000,88.000000,0.971000,85.400000,35.000000,3003,100.000000
37,266,eberechi eze|arsenal,Eberechi Eze,Arsenal,MID,0.650000,65.000000,0.677000,55.200000,31.000000,1798,100.000000
37,25,ethan nwaneri|arsenal,Ethan Nwaneri,Arsenal,MID,0.000000,0.000000,0.000000,0.000000,6.000000,165,0.000000
37,23,f bio ferreira vieira|arsenal,Fábio Ferreira Vieira,Arsenal,MID,0.000000,0.000000,0.000000,0.000000,,0,0.000000
37,19,gabriel martinelli silva|arsenal,Gabriel Martinelli Silva,Arsenal,MID,0.350000,30.000000,0.357000,31.400000,28.000000,974,75.000000
37,28,ismeal kabia|arsenal,Ismeal Kabia,Arsenal,MID,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000
37,20,leandro trossard|arsenal,Leandro Trossard,Arsenal,MID,0.650000,60.400000,0.667000,60.400000,30.000000,1907,100.000000
37,17,martin degaard|arsenal,Martin Ødegaard,Arsenal,MID,0.350000,25.000000,0.652000,52.500000,23.000000,1273,100.000000
37,26,mart n zubimendi ib ez|arsenal,Martín Zubimendi Ibáñez,Arsenal,MID,0.200000,15.000000,0.917000,79.500000,36.000000,2900,100.000000
37,700,max dowman|arsenal,Max Dowman,Arsenal,MID,0.000000,15.500000,0.000000,15.500000,5.000000,91,15.000000
37,22,mikel merino zaz n|arsenal,Mikel Merino Zazón,Arsenal,MID,0.000000,0.000000,0.000000,0.000000,21.000000,996,0.000000
37,18,noni madueke|arsenal,Noni Madueke,Arsenal,MID,0.020000,15.000000,0.600000,42.200000,25.000000,1122,75.000000
37,42,andr s garc a|aston villa,Andrés García,Aston Villa,DEF,0.000000,6.500000,0.000000,6.500000,5.000000,38,10.000000
